Line 0: [CENTER (1)] normal (Bold:None) | Principles
Line 1: [CENTER (1)] normal (Bold:None) | THE 1987 CONSTITUTION
Line 2: [CENTER (1)] normal (Bold:None) | THE CONSTITUTION OF THE REPUBLIC OF THE PHILIPPINES
Line 3: [CENTER (1)] normal (Bold:None) | PREAMBLE
Line 5: [CENTER (1)] normal (Bold:None) | ARTICLE I
Line 6: [CENTER (1)] normal (Bold:None) | National Territory
Line 8: [CENTER (1)] normal (Bold:None) | ARTICLE II
Line 9: [CENTER (1)] normal (Bold:None) | Declaration of Principles and State Policies
Line 10: [CENTER (1)] normal (Bold:None) | Principles
Line 17: [CENTER (1)] normal (Bold:None) | State Policies
Line 40: [CENTER (1)] normal (Bold:None) | ARTICLE III
Line 41: [CENTER (1)] normal (Bold:None) | Bill of Rights
Line 42: [None] normal (Bold:None) | SECTION 1. No person shall be deprived of life, liberty, or property without due process of law, nor
Line 43: [None] normal (Bold:None) | SECTION 2. The right of the people to be secure in their persons, houses, papers, and effects agains
Line 44: [None] normal (Bold:None) | SECTION 3. (1) The privacy of communication and correspondence shall be inviolable except upon lawfu
Line 45: [None] normal (Bold:None) | (2) Any evidence obtained in violation of this or the preceding section shall be inadmissible for an
Line 46: [None] normal (Bold:None) | SECTION 4. No law shall be passed abridging the freedom of speech, of expression, or of the press, o
Line 47: [None] normal (Bold:None) | SECTION 5. No law shall be made respecting an establishment of religion, or prohibiting the free exe
Line 48: [None] normal (Bold:None) | SECTION 6. The liberty of abode and of changing the same within the limits prescribed by law shall n
Line 49: [None] normal (Bold:None) | SECTION 7. The right of the people to information on matters of public concern shall be recognized. 
Line 50: [None] normal (Bold:None) | SECTION 8. The right of the people, including those employed in the public and private sectors, to f
Line 51: [None] normal (Bold:None) | SECTION 9. Private property shall not be taken for public use without just compensation.
Line 52: [None] normal (Bold:None) | SECTION 10. No law impairing the obligation of contracts shall be passed.
Line 53: [None] normal (Bold:None) | SECTION 11. Free access to the courts and quasi-judicial bodies and adequate legal assistance shall 
Line 54: [None] normal (Bold:None) | SECTION 12. (1) Any person under investigation for the commission of an offense shall have the right
Line 55: [None] normal (Bold:None) | (2) No torture, force, violence, threat, intimidation, or any other means which vitiate the free wil
Line 56: [None] normal (Bold:None) | (3) Any confession or admission obtained in violation of this or Section 17 hereof shall be inadmiss
Line 57: [None] normal (Bold:None) | (4) The law shall provide for penal and civil sanctions for violations of this section as well as co
Line 58: [None] normal (Bold:None) | SECTION 13. All persons, except those charged with offenses punishable by reclusion perpetua when ev
Line 59: [None] normal (Bold:None) | SECTION 14. (1) No person shall be held to answer for a criminal offense without due process of law.
Line 60: [None] normal (Bold:None) | (2) In all criminal prosecutions, the accused shall be presumed innocent until the contrary is prove
Line 61: [None] normal (Bold:None) | SECTION 15. The privilege of the writ of habeas corpus shall not be suspended except in cases of inv
Line 62: [None] normal (Bold:None) | SECTION 16. All persons shall have the right to a speedy disposition of their cases before all judic
Line 63: [None] normal (Bold:None) | SECTION 17. No person shall be compelled to be a witness against himself.
Line 64: [None] normal (Bold:None) | SECTION 18. (1) No person shall be detained solely by reason of his political beliefs and aspiration
Line 65: [None] normal (Bold:None) | (2) No involuntary servitude in any form shall exist except as a punishment for a crime whereof the 
Line 66: [None] normal (Bold:None) | SECTION 19. (1) Excessive fines shall not be imposed, nor cruel, degrading or inhuman punishment inf
Line 67: [None] normal (Bold:None) | (2) The employment of physical, psychological, or degrading punishment against any prisoner or detai
Line 68: [None] normal (Bold:None) | SECTION 20. No person shall be imprisoned for debt or non-payment of a poll tax.

SECTION 21. No per
Line 69: [None] normal (Bold:None) | SECTION 22. No ex post facto law or bill of attainder shall be enacted.
Line 70: [CENTER (1)] normal (Bold:None) | ARTICLE IV
Line 71: [CENTER (1)] normal (Bold:None) | Citizenship
Line 80: [CENTER (1)] normal (Bold:None) | ARTICLE V
Line 81: [CENTER (1)] normal (Bold:None) | Suffrage
Line 85: [CENTER (1)] normal (Bold:None) | ARTICLE VI
Line 86: [CENTER (1)] normal (Bold:None) | The Legislative Department
Line 144: [CENTER (1)] normal (Bold:None) | ARTICLE VII
Line 145: [CENTER (1)] normal (Bold:None) | Executive Department
Line 194: [CENTER (1)] normal (Bold:None) | ARTICLE VIII
Line 195: [CENTER (1)] normal (Bold:None) | Judicial Department
Line 238: [CENTER (1)] normal (Bold:None) | ARTICLE IX
Line 239: [CENTER (1)] normal (Bold:None) | Constitutional Commissions
Line 240: [CENTER (1)] normal (Bold:None) | A. Common Provisions
Line 249: [CENTER (1)] normal (Bold:None) | B. The Civil Service Commission
Line 266: [CENTER (1)] normal (Bold:None) | C. The Commission on Elections
Line 290: [CENTER (1)] normal (Bold:None) | D. Commission on Audit
Line 297: [CENTER (1)] normal (Bold:None) | ARTICLE X
Line 298: [CENTER (1)] normal (Bold:None) | Local Government
Line 299: [CENTER (1)] normal (Bold:None) | General Provisions
Line 314: [CENTER (1)] normal (Bold:None) | Autonomous Region
Line 332: [CENTER (1)] normal (Bold:None) | ARTICLE XI
Line 333: [CENTER (1)] normal (Bold:None) | Accountability of Public Officers
Line 367: [CENTER (1)] normal (Bold:None) | ARTICLE XII
Line 368: [CENTER (1)] normal (Bold:None) | National Economy and Patrimony
Line 404: [CENTER (1)] normal (Bold:None) | ARTICLE XIII
Line 405: [CENTER (1)] normal (Bold:None) | Social Justice and Human Rights
Line 409: [CENTER (1)] normal (Bold:None) | Labor
Line 414: [CENTER (1)] normal (Bold:None) | Agrarian and Natural Resources Reform
Line 421: [CENTER (1)] normal (Bold:None) | Urban Land Reform and Housing
Line 425: [CENTER (1)] normal (Bold:None) | Health
